"No.","Time","Source","Destination","Protocol","Length","Info"
"206","4.627505","172.16.80.141","142.251.42.14","QUIC","1292","Initial, DCID=28d1c92b2b27810d, PKN: 1, PADDING, CRYPTO, PADDING, CRYPTO, CRYPTO, CRYPTO, PADDING, CRYPTO, PADDING, CRYPTO, CRYPTO"
"207","4.642471","172.16.80.141","142.251.42.14","QUIC","122","0-RTT, DCID=28d1c92b2b27810d"
"208","4.653677","172.16.80.1","172.16.80.141","DNS","90","Standard query response 0xa06f A vtop.vit.ac.in A 136.233.9.22"
"209","4.654274","172.16.80.141","136.233.9.22","TCP","66","56089  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"210","4.654569","172.16.80.141","136.233.9.22","TCP","66","56090  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"211","4.655456","136.233.9.22","172.16.80.141","TCP","66","443  >  56089 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"212","4.655493","172.16.80.141","136.233.9.22","TCP","54","56089  >  443 [ACK] Seq=1 Ack=1 Win=131328 Len=0"
"213","4.655697","172.16.80.141","136.233.9.22","TLSv1.2","571","Client Hello"
"214","4.655771","136.233.9.22","172.16.80.141","TCP","66","443  >  56090 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"215","4.655792","172.16.80.141","136.233.9.22","TCP","54","56090  >  443 [ACK] Seq=1 Ack=1 Win=131328 Len=0"
"216","4.655960","172.16.80.141","136.233.9.22","TLSv1.2","571","Client Hello"
"217","4.659269","136.233.9.22","172.16.80.141","TLSv1.2","1514","Server Hello"
"218","4.659577","136.233.9.22","172.16.80.141","TCP","1514","443  >  56089 [ACK] Seq=1461 Ack=518 Win=30336 Len=1460 [TCP segment of a reassembled PDU]"
"219","4.659591","172.16.80.141","136.233.9.22","TCP","54","56089  >  443 [ACK] Seq=518 Ack=2921 Win=131328 Len=0"
"220","4.661087","136.233.9.22","172.16.80.141","TCP","1514","443  >  56089 [ACK] Seq=2921 Ack=518 Win=30336 Len=1460 [TCP segment of a reassembled PDU]"
"221","4.663086","136.233.9.22","172.16.80.141","TLSv1.2","1514","Certificate [TCP segment of a reassembled PDU]"
"222","4.663111","172.16.80.141","136.233.9.22","TCP","54","56089  >  443 [ACK] Seq=518 Ack=5841 Win=131328 Len=0"
"223","4.664909","136.233.9.22","172.16.80.141","TLSv1.2","289","Server Key Exchange, Server Hello Done"
"224","4.665352","136.233.9.22","172.16.80.141","TLSv1.2","1514","Server Hello"
"225","4.665485","172.16.80.141","136.233.9.22","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"226","4.667341","136.233.9.22","172.16.80.141","TCP","1514","443  >  56090 [ACK] Seq=1461 Ack=518 Win=30336 Len=1460 [TCP segment of a reassembled PDU]"
"227","4.667388","172.16.80.141","136.233.9.22","TCP","54","56090  >  443 [ACK] Seq=518 Ack=2921 Win=131328 Len=0"
"228","4.669327","136.233.9.22","172.16.80.141","TCP","1514","443  >  56090 [ACK] Seq=2921 Ack=518 Win=30336 Len=1460 [TCP segment of a reassembled PDU]"
"229","4.671260","136.233.9.22","172.16.80.141","TLSv1.2","1514","Certificate [TCP segment of a reassembled PDU]"
"230","4.671300","172.16.80.141","136.233.9.22","TCP","54","56090  >  443 [ACK] Seq=518 Ack=5841 Win=131328 Len=0"
"231","4.673171","136.233.9.22","172.16.80.141","TLSv1.2","289","Server Key Exchange, Server Hello Done"
"232","4.673526","136.233.9.22","172.16.80.141","TLSv1.2","296","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"233","4.673730","172.16.80.141","136.233.9.22","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"234","4.674053","172.16.80.141","136.233.9.22","TLSv1.2","2453","Application Data"
"235","4.675296","136.233.9.22","172.16.80.141","TLSv1.2","296","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"236","4.675709","136.233.9.22","172.16.80.141","TCP","54","443  >  56089 [ACK] Seq=6318 Ack=3043 Win=35072 Len=0"
